xbrl_name,formatted_name
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_HKDMember,"Bank Mandiri (Persero) Tbk - HKD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_HKDMember,"Bank Mandiri (Persero) Tbk - HKD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_GBPMember,"Bank Mandiri (Persero) Tbk - GBP - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_GBPMember,"Bank Mandiri (Persero) Tbk - GBP - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_JPYMember,"Bank Mandiri (Persero) Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_JPYMember,"Bank Mandiri (Persero) Tbk - JPY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_SGDMember,"Bank Mandiri (Persero) Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_SGDMember,"Bank Mandiri (Persero) Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_THBMember,"Bank Mandiri (Persero) Tbk - THB - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_THBMember,"Bank Mandiri (Persero) Tbk - THB - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_USDMember,"Bank Mandiri (Persero) Tbk - USD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_USDMember,"Bank Mandiri (Persero) Tbk - USD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankMandiriPerseroTbkMember_OtherCurrencyMember,"Bank Mandiri (Persero) Tbk - Mata uang lainnya - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankMandiriPerseroTbkMember_OtherCurrencyMember,"Bank Mandiri (Persero) Tbk - Mata uang lainnya - Jumlah utang bank, kotor"
TotalBankLoanGross_BankMandiriPerseroTbkMember,"Bank Mandiri (Persero) Tbk - Total - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_IDRMember,"Bank Syariah Indonesia Tbk - IDR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_IDRMember,"Bank Syariah Indonesia Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_AUDMember,"Bank Syariah Indonesia Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_AUDMember,"Bank Syariah Indonesia Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_CADMember,"Bank Syariah Indonesia Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_CADMember,"Bank Syariah Indonesia Tbk - CAD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_CNYMember,"Bank Syariah Indonesia Tbk - CNY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_CNYMember,"Bank Syariah Indonesia Tbk - CNY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_EURMember,"Bank Syariah Indonesia Tbk - EUR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_EURMember,"Bank Syariah Indonesia Tbk - EUR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_HKDMember,"Bank Syariah Indonesia Tbk - HKD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_HKDMember,"Bank Syariah Indonesia Tbk - HKD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_GBPMember,"Bank Syariah Indonesia Tbk - GBP - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_GBPMember,"Bank Syariah Indonesia Tbk - GBP - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankSyariahIndonesiaTbkMember_JPYMember,"Bank Syariah Indonesia Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankSyariahIndonesiaTbkMember_JPYMember,"Bank Syariah Indonesia Tbk - JPY - Jumlah utang bank, kotor"
