xbrl_name,formatted_name
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember_Doubtful,Pertanian - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_AgricultureMember_Loss,Pertanian - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember,Jasa dunia usaha - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember_CurrentMember,Jasa dunia usaha - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember_SpecialMention,Jasa dunia usaha - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember_Substandard,Jasa dunia usaha - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember_Doubtful,Jasa dunia usaha - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_BusinessServicesMember_Loss,Jasa dunia usaha - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember,Konstruksi - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember_CurrentMember,Konstruksi - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember_SpecialMention,Konstruksi - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember_Substandard,Konstruksi - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember_Doubtful,Konstruksi - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_ConstructionMember_Loss,Konstruksi - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Total"
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember_CurrentMember,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Lancar"
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember_SpecialMention,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Dalam perhatian khusus"
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember_Substandard,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Kurang lancar"
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember_Doubtful,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Diragukan"
TotalLoansGross_ForeignCurrenciesMember_TransportationWarehousingCommunicationsMember_Loss,"Pengangkutan, pergudangan, dan komunikasi - Mata uang asing - Macet"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember,"Listrik, gas dan air - Mata uang asing - Total"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember_CurrentMember,"Listrik, gas dan air - Mata uang asing - Lancar"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember_SpecialMention,"Listrik, gas dan air - Mata uang asing - Dalam perhatian khusus"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember_Substandard,"Listrik, gas dan air - Mata uang asing - Kurang lancar"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember_Doubtful,"Listrik, gas dan air - Mata uang asing - Diragukan"
TotalLoansGross_ForeignCurrenciesMember_ElectricityGasWaterMember_Loss,"Listrik, gas dan air - Mata uang asing - Macet"
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember,Jasa sosial - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember_CurrentMember,Jasa sosial - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember_SpecialMention,Jasa sosial - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember_Substandard,Jasa sosial - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember_Doubtful,Jasa sosial - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_SocialServicesMember_Loss,Jasa sosial - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_MiningMember,Pertambangan - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_MiningMember_CurrentMember,Pertambangan - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_MiningMember_SpecialMention,Pertambangan - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_MiningMember_Substandard,Pertambangan - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_MiningMember_Doubtful,Pertambangan - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_MiningMember_Loss,Pertambangan - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_PropertyMember,Properti - Mata uang asing - Total
TotalLoansGross_ForeignCurrenciesMember_PropertyMember_CurrentMember,Properti - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_PropertyMember_SpecialMention,Properti - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_PropertyMember_Substandard,Properti - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_PropertyMember_Doubtful,Properti - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_PropertyMember_Loss,Properti - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember,Lain-lain - Rupiah - Total
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember_CurrentMember,Lain-lain - Mata uang asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember_SpecialMention,Lain-lain - Mata uang asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember_Substandard,Lain-lain - Mata uang asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember_Doubtful,Lain-lain - Mata uang asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_OtherSectorsMember_Loss,Lain-lain - Mata uang asing - Macet
TotalLoansGross_ForeignCurrenciesMember,Subtotal - Mata Uang Asing
TotalLoansGross_ForeignCurrenciesMember_CurrentMember,Subtotal - Mata Uang Asing - Lancar
TotalLoansGross_ForeignCurrenciesMember_SpecialMention,Subtotal - Mata Uang Asing - Dalam perhatian khusus
TotalLoansGross_ForeignCurrenciesMember_Substandard,Subtotal - Mata Uang Asing - Kurang lancar
TotalLoansGross_ForeignCurrenciesMember_Doubtful,Subtotal - Mata Uang Asing - Diragukan
TotalLoansGross_ForeignCurrenciesMember_Loss,Subtotal - Mata Uang Asing - Macet
TotalLoansGross,Jumlah pinjaman - Kotor - Total
TotalLoansGross_CurrentMember,Jumlah pinjaman - Kotor - Lancar
TotalLoansGross_SpecialMention,Jumlah pinjaman - Kotor - Dalam perhatian khusus
TotalLoansGross_Substandard,Jumlah pinjaman - Kotor - Kurang lancar
TotalLoansGross_Doubtful,Jumlah pinjaman - Kotor - Diragukan
TotalLoansGross_Loss,Jumlah pinjaman - Kotor - Macet
AllowanceForImpairmentLossesForLoans,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Total
AllowanceForImpairmentLossesForLoans_CurrentMember,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Lancar
AllowanceForImpairmentLossesForLoans_SpecialMention,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Dalam perhatian khusus
AllowanceForImpairmentLossesForLoans_Substandard,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan -  Kurang lancar
AllowanceForImpairmentLossesForLoans_Doubtful,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Diragukan
AllowanceForImpairmentLossesForLoans_Loss,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan - Macet
TotalLoansNet,Jumlah pinjaman - Bersih - Total
TotalLoansNet_CurrentMember,Jumlah pinjaman - Bersih - Lancar
TotalLoansNet_SpecialMention,Jumlah pinjaman - Bersih - Dalam perhatian khusus
TotalLoansNet_Substandard,Jumlah pinjaman - Bersih - Kurang lancar
TotalLoansNet_Doubtful,Jumlah pinjaman - Bersih - Diragukan
TotalLoansNet_Loss,Jumlah pinjaman - Bersih - Macet
